iso_time	uptime_s	temp_c	arm_mhz	core_mhz	volts	load1	throttled_hex	throttled_flags	proc_cpu	proc_rss_kb
2026-08-16T14:44:32+02:00	10878	43.3	1500	550	0.8955V	1.25	0x0	clean	24.1	322244
2026-08-16T14:45:32+02:00	10938	43.3	700	499	0.8955V	1.41	0x0	clean	24.1	322244
2026-08-16T14:46:32+02:00	10998	42.8	700	499	0.8955V	1.38	0x0	clean	24.1	322244
2026-08-16T14:47:32+02:00	11058	42.3	700	267	0.8955V	1.18	0x0	clean	24.1	322244
2026-08-16T14:48:33+02:00	11118	43.8	700	499	0.8955V	1.19	0x0	clean	24.1	322244
2026-08-16T14:49:33+02:00	11178	42.8	700	499	0.8955V	1.25	0x0	clean	24.1	322244
2026-08-16T14:50:33+02:00	11238	43.8	700	499	0.8955V	1.29	0x0	clean	24.1	322244
2026-08-16T14:51:33+02:00	11298	43.8	700	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T14:52:33+02:00	11358	43.3	700	499	0.8955V	1.38	0x0	clean	24.1	322244
2026-08-16T14:53:33+02:00	11418	43.3	700	499	0.8955V	1.33	0x0	clean	24.1	322244
2026-08-16T14:54:33+02:00	11479	43.3	700	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T14:55:33+02:00	11539	42.8	700	499	0.8955V	1.37	0x0	clean	24.1	322244
2026-08-16T14:56:33+02:00	11599	41.8	700	499	0.8955V	1.74	0x0	clean	24.1	322244
2026-08-16T14:57:33+02:00	11659	42.3	700	499	0.8955V	1.33	0x0	clean	24.1	322244
2026-08-16T14:58:34+02:00	11719	43.3	700	499	0.8955V	1.49	0x0	clean	24.1	322244
2026-08-16T14:59:34+02:00	11779	42.8	700	499	0.8955V	1.45	0x0	clean	24.1	322244
2026-08-16T15:00:34+02:00	11839	42.8	700	499	0.8955V	1.41	0x0	clean	24.1	322244
2026-08-16T15:01:34+02:00	11899	43.3	700	499	0.8955V	1.27	0x0	clean	24.1	322244
2026-08-16T15:02:34+02:00	11959	43.3	700	499	0.8955V	1.31	0x0	clean	24.1	322244
2026-08-16T15:03:34+02:00	12019	42.8	700	499	0.8955V	1.43	0x0	clean	24.1	322244
2026-08-16T15:04:34+02:00	12080	43.3	700	499	0.8955V	1.24	0x0	clean	24.1	322244
2026-08-16T15:05:34+02:00	12140	42.8	700	499	0.8955V	1.19	0x0	clean	24.1	322244
2026-08-16T15:06:34+02:00	12200	42.8	700	499	0.8955V	1.16	0x0	clean	24.1	322244
2026-08-16T15:07:34+02:00	12260	42.8	700	499	0.8955V	1.40	0x0	clean	24.1	322244
2026-08-16T15:08:35+02:00	12320	41.8	700	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T15:09:35+02:00	12380	43.8	700	499	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T15:10:35+02:00	12440	42.8	700	499	0.8955V	1.42	0x0	clean	24.1	322244
2026-08-16T15:11:35+02:00	12500	43.3	700	499	0.8955V	1.39	0x0	clean	24.1	322244
2026-08-16T15:12:35+02:00	12560	43.3	700	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T15:13:35+02:00	12620	42.3	700	499	0.8955V	1.48	0x0	clean	24.1	322244
2026-08-16T15:14:35+02:00	12681	42.8	700	499	0.8955V	1.40	0x0	clean	24.1	322244
